year;RAC0;RNC1;conference
2012;0.195402298851;0.711111111111;ICSE
2011;0.306451612903;0.692307692308;ICSE
2010;0.314814814815;0.731707317073;ICSE
2009;0.2;0.731707317073;ICSE
2008;0.2;0.789473684211;ICSE
2007;0.122448979592;0.828571428571;ICSE
2006;0.138888888889;0.771428571429;ICSE
2005;0.159090909091;0.733333333333;ICSE
2004;0.275862068966;0.808510638298;ICSE
2003;0.285714285714;0.727272727273;ICSE
2002;0.177777777778;0.8;ICSE
2001;0.148936170213;0.648648648649;ICSE
2000;0.266666666667;0.826086956522;ICSE
1999;0.303571428571;0.697674418605;ICSE
1998;0.19512195122;0.605263157895;ICSE
1997;0.16;0.88;ICSE
1996;0.0576923076923;0.857142857143;ICSE
1995;0.142857142857;0.774193548387;ICSE
2012;0.5;0.385714285714;ICSM
2011;0.5;0.4125;ICSM
2010;0.388888888889;0.459459459459;ICSM
2009;0.457142857143;0.530864197531;ICSM
2008;0.475;0.353658536585;ICSM
2007;0.413043478261;0.247191011236;ICSM
2006;0.377777777778;0.4375;ICSM
2005;0.309090909091;0.516666666667;ICSM
2004;0.368421052632;0.350877192982;ICSM
2003;0.230769230769;0.210526315789;ICSM
2002;0.344262295082;0.260273972603;ICSM
2001;0.373134328358;0.546875;ICSM
2000;0.28;0.309523809524;ICSM
1999;0.387755102041;0.415384615385;ICSM
1998;0.416666666667;0.277777777778;ICSM
1997;0.342857142857;0.162790697674;ICSM
1996;0.416666666667;0.391304347826;ICSM
1995;0.432432432432;0.555555555556;ICSM
2012;0.422222222222;0.353846153846;WCRE
2011;0.481481481481;0.454545454545;WCRE
2010;0.363636363636;0.272727272727;WCRE
2009;0.5;0.26;WCRE
2008;0.55;0.475409836066;WCRE
2007;0.37037037037;0.170731707317;WCRE
2006;0.708333333333;0.142857142857;WCRE
2005;0.47619047619;0.3;WCRE
2004;0.285714285714;0.358974358974;WCRE
2003;0.371428571429;0.243243243243;WCRE
2002;0.454545454545;0.19512195122;WCRE
2001;0.521739130435;0.619047619048;WCRE
2000;0.4375;0.157894736842;WCRE
1999;0.551724137931;0.464285714286;WCRE
1998;0.44;0.116279069767;WCRE
1997;0.625;0.347826086957;WCRE
1996;0.391304347826;0.365853658537;WCRE
2012;0.2;0.1875;CSMR
2011;0.290322580645;0.492957746479;CSMR
2010;0.291666666667;0.338461538462;CSMR
2009;0.318181818182;0.351851851852;CSMR
2008;0.416666666667;0.557692307692;CSMR
2007;0.448275862069;0.358974358974;CSMR
2006;0.481481481481;0.488372093023;CSMR
2005;0.242424242424;0.333333333333;CSMR
2004;0.151515151515;0.35;CSMR
2003;0.175;0.184210526316;CSMR
2002;0.291666666667;0.487179487179;CSMR
2001;0.421052631579;0.2;CSMR
2000;0.333333333333;0.441176470588;CSMR
1999;0.222222222222;0.304347826087;CSMR
1998;0.217391304348;0.840909090909;CSMR
2012;0.51724137931;0.341463414634;MSR
2011;0.423076923077;0.414634146341;MSR
2010;0.52380952381;0.277777777778;MSR
2009;0.538461538462;0.428571428571;MSR
2008;0.478260869565;0.1875;MSR
2007;0.481481481481;0.40625;MSR
2006;0.448275862069;0.391304347826;MSR
2005;0.318181818182;0.5;MSR
2012;0.133333333333;0.78125;GPCE
2011;0.277777777778;0.769230769231;GPCE
2010;0.166666666667;0.615384615385;GPCE
2009;0.333333333333;0.774193548387;GPCE
2008;0.235294117647;0.695652173913;GPCE
2007;0.0;0.925925925926;GPCE
2006;0.16;0.827586206897;GPCE
2005;0.12;0.85;GPCE
2004;0.08;0.809523809524;GPCE
2003;0.142857142857;0.695652173913;GPCE
2002;0.0555555555556;0.92;GPCE
2001;0.111111111111;0.9;GPCE
2012;0.15625;0.645161290323;FASE
2011;0.137931034483;0.703703703704;FASE
2010;0.2;0.64;FASE
2009;0.193548387097;0.586206896552;FASE
2008;0.133333333333;0.733333333333;FASE
2007;0.107142857143;0.75;FASE
2006;0.111111111111;0.72;FASE
2005;0.04;0.76;FASE
2004;0.142857142857;0.9;FASE
2003;0.0384615384615;0.785714285714;FASE
2002;0.0;0.75;FASE
2001;0.0869565217391;0.666666666667;FASE
2000;0.0952380952381;0.8;FASE
1999;0.0;0.230769230769;FASE
2012;0.347826086957;0.710526315789;ICPC
2011;0.444444444444;0.37037037037;ICPC
2010;0.625;0.159090909091;ICPC
2009;0.363636363636;0.270833333333;ICPC
2008;0.631578947368;0.267857142857;ICPC
2007;0.590909090909;0.3125;ICPC
2006;0.260869565217;0.351351351351;ICPC
2005;0.333333333333;0.363636363636;ICPC
2004;0.47619047619;0.395348837209;ICPC
2003;0.333333333333;0.189189189189;ICPC
2002;0.407407407407;0.27027027027;ICPC
2001;0.5;0.3125;ICPC
2000;0.25;0.296296296296;ICPC
1999;0.583333333333;0.166666666667;ICPC
1998;0.458333333333;0.272727272727;ICPC
2012;0.205882352941;0.911764705882;FSE
2011;0.176470588235;0.724137931034;FSE
2010;0.121212121212;0.777777777778;FSE
2009;0.235294117647;0.793103448276;FSE
2008;0.225806451613;0.72;FSE
2007;0.285714285714;0.714285714286;FSE
2006;0.28;0.724137931034;FSE
2005;0.114285714286;0.787878787879;FSE
2004;0.214285714286;0.884615384615;FSE
2003;0.0833333333333;0.870967741935;FSE
2002;0.294117647059;0.869565217391;FSE
2001;0.206896551724;0.756756756757;FSE
2000;0.238095238095;0.846153846154;FSE
1999;0.103448275862;0.913043478261;FSE
1998;0.0416666666667;0.791666666667;FSE
1997;0.111111111111;0.846153846154;FSE
1996;0.176470588235;0.888888888889;FSE
1995;0.0666666666667;0.913043478261;FSE
1994;0.176470588235;0.705882352941;FSE
2012;0.3125;0.357142857143;SCAM
2011;0.3125;0.5;SCAM
2010;0.117647058824;0.444444444444;SCAM
2009;0.352941176471;0.157894736842;SCAM
2008;0.434782608696;0.355555555556;SCAM
2007;0.315789473684;0.222222222222;SCAM
2006;0.529411764706;0.176470588235;SCAM
2005;0.333333333333;0.0882352941176;SCAM
2004;0.4375;0.263157894737;SCAM
2003;0.3;0.25641025641;SCAM
2002;0.529411764706;0.40625;SCAM
2012;0.380952380952;0.340909090909;ASE
2011;0.162162162162;0.488372093023;ASE
2010;0.176470588235;0.243902439024;ASE
2009;0.184210526316;0.342105263158;ASE
2008;0.257142857143;0.404255319149;ASE
2007;0.216216216216;0.4;ASE
2006;0.136363636364;0.46511627907;ASE
2005;0.142857142857;0.230769230769;ASE
2004;0.28;0.3;ASE
2003;0.227272727273;0.290909090909;ASE
2002;0.368421052632;0.176470588235;ASE
2001;0.34375;0.148148148148;ASE
2000;0.217391304348;0.259259259259;ASE
1999;0.2;0.169811320755;ASE
1998;0.416666666667;0.508474576271;ASE
1997;0.1875;0.632653061224;ASE
1995;0.304347826087;0.37037037037;ASE
