year;ICSE;ICSM;WCRE;CSMR;MSR;GPCE;FASE;ICPC;FSE;SCAM;ASE
2013;0.320;0.451;0.246;0.141;0.261;0.519;0.467;0.320;0.486;0.139;0.545
2012;0.479;0.214;0.262;0.125;0.195;0.656;0.452;0.553;0.639;0.167;0.205
2011;0.377;0.150;0.273;0.366;0.317;0.538;0.481;0.278;0.552;0.262;0.372
2010;0.333;0.189;0.091;0.200;0.222;0.500;0.333;0.136;0.444;0.389;0.171
2009;0.432;0.222;0.140;0.185;0.429;0.645;0.448;0.208;0.345;0.132;0.211
2008;0.439;0.280;0.443;0.442;0.156;0.435;0.633;0.250;0.320;0.267;0.298
2007;0.278;0.225;0.146;0.282;;0.852;0.643;0.188;0.286;0.222;0.114
2006;0.444;0.163;0.095;0.302;;0.448;0.480;0.270;0.483;0.176;0.326
2005;0.391;0.383;0.275;0.314;;0.550;0.600;0.242;0.424;0.088;0.115
2004;0.340;0.211;0.275;0.325;;0.667;0.750;0.395;0.462;;0.300
2003;0.422;0.211;0.216;0.184;;;0.714;0.162;0.452;;0.218
2002;0.312;0.260;0.195;0.436;;;0.667;0.270;0.565;;0.157
2001;0.368;0.297;0.238;0.167;;;;0.125;0.595;;0.093
2000;0.468;0.214;0.105;;;;;;0.538;;0.259
1999;0.535;0.369;0.375;;;;;;0.609;;0.151
1998;0.447;0.148;;;;;;;0.458;;0.458
1997;;;;;;;;;0.795;;
